Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Batch size,Dropout,Elastic proportion
1,46,0.6815665364265442,64,6.298425963827283e-05,Normalized,4,0.35864199918174844,0.026849478913372152
2,29,0.6803216934204102,64,0.00010743619851700324,Normalized,6,0.45067719572538306,0.04888679119458925
3,44,0.6767961978912354,64,6.65812027174877e-05,ZCA: 1e-1,4,0.42174832093994447,0.06936293460209979
4,24,0.674414336681366,64,0.00018296270370168576,ZCA: 1e-1,6,0.4753875405019018,0.06821546803020534
5,22,0.6742167472839355,64,0.0001814907022356517,Standardized,6,0.4989908503734483,0.06812987589136438
6,39,0.673725426197052,64,8.239253030867837e-05,ZCA: 1e-1,6,0.46151611701936146,0.02733721946083128
7,18,0.6734326481819153,32,0.00015216948254347934,Standardized,4,0.4378939572964633,0.08480996011266423
8,15,0.6724929809570312,64,1.5679141999316372e-05,Standardized,3,0.4903778916395784,0.10316946633182628
9,11,0.6721920371055603,64,6.361046631918453e-05,Standardized,4,0.39827122807355475,0.07712655584660011
10,30,0.6711027026176453,64,9.890911399910261e-05,Normalized,6,0.4185128366910941,0.05286696080948818
11,37,0.6710421442985535,16,0.0009864919959583901,Normalized,2,0.4091112358868785,0.1731927325267851
12,17,0.6692478060722351,32,1.526304829580563e-05,Standardized,1,0.35968305027111913,0.1656709116607522
13,8,0.6678430438041687,64,3.421307808536804e-05,ZCA: 1e-4,1,0.3238240673682962,0.012564252788533592
14,35,0.667582094669342,16,4.559298838875619e-05,Normalized,2,0.47419079048675417,0.11949172012848072
15,43,0.6673555970191956,64,0.00010903335133735532,ZCA: 1e-5,1,0.3579601929709785,0.11208813684383731
16,33,0.667140007019043,64,0.0001232575696284506,ZCA: 1e-3,5,0.3825897017226003,0.04972661482297198
17,3,0.6665769219398499,32,2.8863980242302586e-05,Standardized,3,0.3388866853186119,0.011462210074150603
18,7,0.6662606596946716,32,0.0004928579193956146,Normalized,2,0.46134337296927774,0.032830590517840146
19,2,0.6657609939575195,32,5.203753256613685e-05,ZCA: 1e-3,2,0.4507872967977404,0.09255238942636164
20,16,0.6649825572967529,32,0.00031165627871364873,ZCA: 1e-2,5,0.42730263255860546,0.0408778305818949
21,28,0.6649235486984253,64,0.00024851652075011854,ZCA: 1e-6,6,0.47676231800450275,0.0006318173815067218
22,53,0.6633678078651428,64,3.114638642492507e-05,Normalized,5,0.4043921321166766,0.010868763815767624
23,52,0.6623783707618713,16,0.00026888382980879197,ZCA: 1e-5,1,0.392363681204584,0.09246825233689554
24,26,0.6623535752296448,64,0.0001597843661491123,ZCA: 1e-1,6,0.4696576089490158,0.12364939666689054
25,12,0.6611157059669495,32,8.633412472511929e-05,ZCA: 1e-5,4,0.46843005687896305,0.1425753865483764
26,40,0.6604109406471252,64,4.503315887216459e-05,ZCA: 1e-4,6,0.44574087536403895,0.08227325882277778
27,23,0.6565027832984924,64,0.00018909683227458842,ZCA: 1e-3,6,0.37535131140847605,0.05765234650741352
28,19,0.6561952829360962,64,2.6845261735557708e-05,ZCA: 1e-2,5,0.32311318844182213,0.15032384965177473
29,13,0.6555554866790771,32,2.7858185334380113e-05,ZCA: 1e-2,1,0.48608196769308754,0.034323134779748465
30,49,0.6536951661109924,64,2.4202838123611027e-05,Normalized,4,0.36567701428761934,0.007974475216477369
31,27,0.6531328558921814,64,0.00035675786271440954,ZCA: 1e-1,6,0.4979243548689038,0.0580912848381558
32,41,0.650538980960846,16,0.000380740440934006,ZCA: 1e-3,3,0.4822438266835306,0.04558510614077242
33,9,0.6472737193107605,64,1.0469060458287766e-05,ZCA: 1e-2,1,0.32604344403403296,0.14032935119759268
34,1,0.6442264914512634,16,7.731778298602781e-05,Normalized,2,0.4167747326885618,0.1545112109608737
35,54,0.6424569487571716,64,2.1326148473101264e-05,ZCA: 1e-6,4,0.3731275590129675,0.03815563605034775
36,42,0.6387187838554382,32,0.0006631808418053455,Normalized,2,0.38896794169213916,0.19421411194696445
37,6,0.6338266730308533,16,0.0007770422807835244,ZCA: 1e-5,4,0.4404351568366897,0.1936570101858209
38,10,0.6304046511650085,64,1.919085431455663e-05,ZCA: 1e-1,4,0.39699667811530887,0.03653237306993795
39,45,0.6280131340026855,32,3.8126178368078724e-05,ZCA: 1e-4,4,0.4170697780895374,0.13523468258428217
40,14,0.6195318102836609,16,1.9096961720733023e-05,Standardized,3,0.4096462850187134,0.0349341646114296
41,31,0.6142762303352356,64,0.0005483017229153019,Normalized,2,0.45598913157365717,0.09062211422768932
42,32,0.6052308678627014,16,5.448746803181317e-05,Normalized,6,0.4459078258975865,0.0002932145379271056
43,34,0.5938617587089539,64,0.000536205285163861,ZCA: 1e-1,6,0.4297997644486659,0.020028259963355215
44,51,0.5881025791168213,32,1.2751017696092567e-05,ZCA: 1e-2,3,0.30752566113975466,0.04509213953854786
45,21,0.577480673789978,64,5.624030205024232e-06,ZCA: 1e-6,3,0.4875279418219967,0.1162286421921168
46,38,0.5608829855918884,64,9.013853563997254e-06,ZCA: 1e-6,5,0.43337423503509404,0.015618347517201168
47,5,0.45637941360473633,16,4.517129515066326e-06,ZCA: 1e-2,1,0.3338647761936418,0.018280846546082974
48,25,0.4481522738933563,64,0.0008911383289796286,ZCA: 1e-1,6,0.4990427588958702,0.0646337236763788
49,48,0.4007112681865692,32,8.699601044875977e-06,Normalized,4,0.3464917448369595,0.022578055135604687
50,47,0.39511504769325256,16,5.246863706155364e-06,Normalized,4,0.3086426969444318,0.002915837549863104
51,4,0.3744978904724121,32,1.6943554543744654e-06,ZCA: 1e-4,1,0.3081584429646734,0.10467150948913272
52,20,0.3445471227169037,16,2.5500880929355898e-06,ZCA: 1e-4,6,0.33105528975838144,0.07532428455927548
53,50,0.33821573853492737,64,3.521481425765251e-06,Normalized,4,0.3453491030208276,0.027074363640626653
54,36,0.15332269668579102,64,1.137945265164052e-06,ZCA: 1e-5,6,0.4526405459668763,0.09934817573156868
